date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-01-02 00:00:00+00:00,1367.37,1368.14,1341.55,1341.55,1406731,1367.37,1368.14,1341.55,1341.55,1406731,0.0,1.0
2020-01-03 00:00:00+00:00,1360.66,1372.5,1345.54,1347.86,1187006,1360.66,1372.5,1345.54,1347.86,1187006,0.0,1.0
2020-01-06 00:00:00+00:00,1394.21,1396.5,1350.0,1350.0,1733149,1394.21,1396.5,1350.0,1350.0,1733149,0.0,1.0
2020-01-07 00:00:00+00:00,1393.34,1402.99,1390.38,1397.94,1511693,1393.34,1402.99,1390.38,1397.94,1511693,0.0,1.0
2020-01-08 00:00:00+00:00,1404.32,1411.58,1390.84,1392.08,1529177,1404.32,1411.58,1390.84,1392.08,1529177,0.0,1.0
2020-01-09 00:00:00+00:00,1419.83,1427.33,1410.27,1420.57,1502664,1419.83,1427.33,1410.27,1420.57,1502664,0.0,1.0
2020-01-10 00:00:00+00:00,1429.73,1434.93,1418.35,1427.56,1821566,1429.73,1434.93,1418.35,1427.56,1821566,0.0,1.0
2020-01-13 00:00:00+00:00,1439.23,1440.52,1426.02,1436.13,1378286,1439.23,1440.52,1426.02,1436.13,1378286,0.0,1.0
2020-01-14 00:00:00+00:00,1430.88,1441.8,1428.37,1439.01,1560453,1430.88,1441.8,1428.37,1439.01,1560453,0.0,1.0
2020-01-15 00:00:00+00:00,1439.2,1441.39,1430.21,1430.21,1282685,1439.2,1441.39,1430.21,1430.21,1282685,0.0,1.0
2020-01-16 00:00:00+00:00,1451.7,1451.99,1440.92,1447.44,1173688,1451.7,1451.99,1440.92,1447.44,1173688,0.0,1.0
2020-01-17 00:00:00+00:00,1480.39,1481.3,1458.22,1462.91,2396215,1480.39,1481.3,1458.22,1462.91,2396215,0.0,1.0
2020-01-21 00:00:00+00:00,1484.4,1491.85,1471.2,1479.12,2008830,1484.4,1491.85,1471.2,1479.12,2008830,0.0,1.0
2020-01-22 00:00:00+00:00,1485.95,1503.21,1484.93,1491.0,1610846,1485.95,1503.21,1484.93,1491.0,1610846,0.0,1.0
2020-01-23 00:00:00+00:00,1486.65,1495.52,1482.1,1487.64,1351354,1486.65,1495.52,1482.1,1487.64,1351354,0.0,1.0
2020-01-24 00:00:00+00:00,1466.71,1495.49,1465.25,1493.59,1784644,1466.71,1495.49,1465.25,1493.59,1784644,0.0,1.0
