close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
64.02,69.49,63.43,65.99,26083758,64.02,69.49,63.43,65.99,26083758,0.0,1.0
65.36,67.23,61.3,64.57,7900003,65.36,67.23,61.3,64.57,7900003,0.0,1.0
68.12,68.66,65.4,66.21,2940803,68.12,68.66,65.4,66.21,2940803,0.0,1.0
66.29,69.11,65.75,67.51,2204525,66.29,69.11,65.75,67.51,2204525,0.0,1.0
69.83,70.58,67.05,67.41,4386117,69.83,70.58,67.05,67.41,4386117,0.0,1.0
70.12,70.62,68.89,70.32,2260239,70.12,70.62,68.89,70.32,2260239,0.0,1.0
70.37,71.245,68.76,70.49,2217033,70.37,71.245,68.76,70.49,2217033,0.0,1.0
70.52,71.08,70.06,70.68,1718266,70.52,71.08,70.06,70.68,1718266,0.0,1.0
70.07,71.18,69.93,70.47,1714256,70.07,71.18,69.93,70.47,1714256,0.0,1.0
69.05,70.38,67.0101,67.72,3672468,69.05,70.38,67.0101,67.72,3672468,0.0,1.0
68.43,69.41,67.7501,69.29,3355104,68.43,69.41,67.7501,69.29,3355104,0.0,1.0
68.14,69.91,67.7,68.83,2620370,68.14,69.91,67.7,68.83,2620370,0.0,1.0
62.35,66.255,62.07,65.66,7408487,62.35,66.255,62.07,65.66,7408487,0.0,1.0
62.99,63.9299,62.3501,62.61,3689835,62.99,63.9299,62.3501,62.61,3689835,0.0,1.0
62.61,63.47,61.61,63.47,3066245,62.61,63.47,61.61,63.47,3066245,0.0,1.0
62.96,63.62,62.45,62.83,2889862,62.96,63.62,62.45,62.83,2889862,0.0,1.0
61.94,63.14,61.5,62.99,2863900,61.94,63.14,61.5,62.99,2863900,0.0,1.0
60.85,62.93,60.625,62.0,2842132,60.85,62.93,60.625,62.0,2842132,0.0,1.0
61.05,62.21,60.9,60.94,3522949,61.05,62.21,60.9,60.94,3522949,0.0,1.0
62.39,62.43,60.225,60.89,2674881,62.39,62.43,60.225,60.89,2674881,0.0,1.0
62.13,63.87,61.75,62.3,2721137,62.13,63.87,61.75,62.3,2721137,0.0,1.0
62.87,63.85,61.94,62.38,2739816,62.87,63.85,61.94,62.38,2739816,0.0,1.0
62.87,63.5,62.2733,62.54,1698862,62.87,63.5,62.2733,62.54,1698862,0.0,1.0
64.35,64.48,62.6552,62.78,2320859,64.35,64.48,62.6552,62.78,2320859,0.0,1.0
65.27,65.76,64.53,64.55,3171792,65.27,65.76,64.53,64.55,3171792,0.0,1.0
66.45,66.91,64.61,65.39,2474197,66.45,66.91,64.61,65.39,2474197,0.0,1.0
67.22,67.85,65.81,66.43,2314794,67.22,67.85,65.81,66.43,2314794,0.0,1.0
67.23,67.839,66.25,66.72,1883899,67.23,67.839,66.25,66.72,1883899,0.0,1.0
67.02,67.6,65.73,67.12,2118195,67.02,67.6,65.73,67.12,2118195,0.0,1.0
66.64,67.52,65.1,65.26,1747731,66.64,67.52,65.1,65.26,1747731,0.0,1.0
67.83,68.1256,66.5,66.77,1768573,67.83,68.1256,66.5,66.77,1768573,0.0,1.0
66.79,68.24,66.56,68.2,1247935,66.79,68.24,66.56,68.2,1247935,0.0,1.0
66.56,67.52,66.38,67.14,1068586,66.56,67.52,66.38,67.14,1068586,0.0,1.0
66.57,66.98,66.0,66.06,848604,66.57,66.98,66.0,66.06,848604,0.0,1.0
66.67,66.86,65.55,66.71,1202107,66.67,66.86,65.55,66.71,1202107,0.0,1.0
68.43,69.18,66.825,66.95,1372968,68.43,69.18,66.825,66.95,1372968,0.0,1.0
67.06,68.12,66.35,67.85,1310451,67.06,68.12,66.35,67.85,1310451,0.0,1.0
67.87,68.18,66.77,67.38,1586657,67.87,68.18,66.77,67.38,1586657,0.0,1.0
