Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Sets,Climb Time,Avg Resp,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Min Resp,Max Resp
Mountain Biking,2020-07-02 19:00:34,False,Velsen Mountain Biking,6.47,366.0,00:47:13,129,173,2.1,,,8.2,29.4,36,36,"0,00","0,0","0,0","0,0","0,0","0,0",,47:13,,0:00,"0,0",0:00,No,10:37.15,2,"0,0",,
Mountain Biking,2020-06-29 15:17:24,False,Velsen Mountain Biking,12.62,755.0,01:16:15,146,181,3.8,,,9.9,33.7,83,86,"0,00","0,0","0,0","0,0","0,0","0,0",,1:16:15,,0:00,"0,0",0:00,No,06:00.08,4,"0,0",,
Mountain Biking,2020-06-26 12:25:05,False,Velsen Mountain Biking,14.32,892.0,01:41:02,140,191,4.1,,,8.5,32.9,98,100,"0,00","0,0","0,0","0,0","0,0","0,0",,1:41:02,,0:00,"0,0",0:00,No,01:04.01,6,"0,0",,
Mountain Biking,2020-06-24 15:21:54,False,Leusden Mountain Biking,18.0,952.0,01:37:52,157,190,5.0,,,11.0,27.7,25,30,"0,00","0,0","0,0","0,0","0,0","0,0",,1:37:52,,0:00,"0,0",0:00,No,19:37.30,4,"0,0",,
Mountain Biking,2020-06-22 14:39:38,False,Velsen Mountain Biking,14.86,1.016,01:35:52,162,190,5.0,,,9.3,33.5,84,76,"0,00","0,0","0,0","0,0","0,0","0,0",,1:35:52,,0:00,"0,0",0:00,No,24:59.91,3,"0,0",,
Mountain Biking,2020-06-20 11:41:05,False,Velsen Mountain Biking,13.96,868.0,01:51:32,137,188,3.2,,,7.5,32.1,62,64,"0,00","0,0","0,0","0,0","0,0","0,0",,1:51:32,,0:00,"0,0",0:00,No,27:41.36,3,"0,0",,
Mountain Biking,2020-06-16 15:57:54,False,Amersfoort Mountain Biking,26.03,1.093,01:40:29,159,185,4.8,,,15.5,32.6,83,83,"0,00","0,0","0,0","0,0","0,0","0,0",,1:40:29,,0:00,"0,0",0:00,No,03:16.85,6,"0,0",,
Mountain Biking,2020-06-13 15:29:36,False,Velsen Mountain Biking,19.14,1.246,02:01:57,160,189,4.2,,,9.4,32.1,76,76,"0,00","0,0","0,0","0,0","0,0","0,0",,2:01:57,,0:00,"0,0",0:00,No,26:02.24,4,"0,0",,
Mountain Biking,2020-06-10 14:25:00,False,Amersfoort Mountain Biking,23.76,1.235,01:35:17,173,187,5.0,,,15.0,29.3,29,30,"0,00","0,0","0,0","0,0","0,0","0,0",,1:35:17,,0:00,"0,0",0:00,No,12:47.46,5,"0,0",,
Mountain Biking,2020-06-03 12:21:50,False,Amersfoort Mountain Biking,25.58,1.158,01:44:46,159,183,5.0,,,14.6,28.2,88,87,"0,00","0,0","0,0","0,0","0,0","0,0",,1:44:46,,0:00,"0,0",0:00,No,01:40.27,6,"0,0",,
Mountain Biking,2020-05-30 11:55:19,False,Velsen Mountain Biking,21.79,1.452,02:18:39,160,189,4.1,,,9.4,31.8,58,64,"0,00","0,0","0,0","0,0","0,0","0,0",,2:18:39,,0:00,"0,0",0:00,No,08:40.65,5,"0,0",,
Mountain Biking,2020-05-27 15:16:26,False,Amersfoort Mountain Biking,33.6,1.751,02:34:40,167,187,5.0,,,13.0,29.5,115,113,"0,00","0,0","0,0","0,0","0,0","0,0",,2:34:40,,0:00,"0,0",0:00,No,17:51.28,7,"0,0",,
Mountain Biking,2020-05-23 11:23:31,False,Velsen Mountain Biking,13.07,853.0,01:02:48,163,189,4.3,,,12.5,36.8,51,51,"0,00","0,0","0,0","0,0","0,0","0,0",,1:02:48,,0:00,"0,0",0:00,No,14:04.59,3,"0,0",,
Mountain Biking,2020-05-20 14:38:14,False,Leusden Mountain Biking,23.32,1.712,01:54:22,176,191,5.0,,,12.2,29.2,16,22,"0,00","0,0","0,0","0,0","0,0","0,0",,1:54:22,,0:00,"0,0",0:00,No,11:47.35,5,"0,0",,
Mountain Biking,2020-05-16 11:15:03,False,Heemskerk Mountain Biking,21.36,929.0,01:10:17,163,183,4.4,,,18.2,34.2,45,44,"0,00","0,0","0,0","0,0","0,0","0,0",,1:10:17,,0:00,"0,0",0:00,No,04:15.14,5,"0,0",,
Mountain Biking,2020-05-13 14:49:41,False,Amersfoort Mountain Biking,26.77,1.288,01:43:33,161,185,4.3,,,15.5,33.0,84,84,"0,00","0,0","0,0","0,0","0,0","0,0",,1:43:33,,0:00,"0,0",0:00,No,04:50.23,6,"0,0",,
Mountain Biking,2020-05-09 11:58:47,False,Heemskerk Mountain Biking,22.92,1.082,01:23:14,163,192,4.3,,,16.5,33.8,17,17,"0,00","0,0","0,0","0,0","0,0","0,0",,1:23:14,,0:00,"0,0",0:00,No,08:43.20,5,"0,0",,
Mountain Biking,2020-05-06 15:23:27,False,Amersfoort Mountain Biking,24.67,1.502,01:43:42,172,188,5.0,,,14.3,28.0,37,75,"0,00","0,0","0,0","0,0","0,0","0,0",,1:43:42,,0:00,"0,0",0:00,No,17:33.06,5,"0,0",,
Mountain Biking,2020-05-02 12:36:14,False,Heemskerk Mountain Biking,19.48,728.0,00:56:10,157,180,4.0,,,20.8,32.3,26,26,"0,00","0,0","0,0","0,0","0,0","0,0",,56:10,,0:00,"0,0",0:00,No,12:03.43,4,"0,0",,
Mountain Biking,2020-04-29 15:48:31,False,Amersfoort Mountain Biking,26.52,1.885,02:22:55,167,189,5.0,,,11.1,28.9,32,30,"0,00","0,0","0,0","0,0","0,0","0,0",,2:22:55,,0:00,"0,0",0:00,No,05:51.26,6,"0,0",,
Mountain Biking,2020-04-27 16:16:35,False,Heemskerk Mountain Biking,18.06,706.0,01:03:02,149,175,3.2,,,17.2,32.8,34,33,"0,00","0,0","0,0","0,0","0,0","0,0",,1:03:02,,0:00,"0,0",0:00,No,08:54.55,4,"0,0",,
Mountain Biking,2020-04-22 15:32:30,False,Leusden Mountain Biking,24.79,1.441,01:43:45,168,187,5.0,,,14.3,32.2,85,87,"0,00","0,0","0,0","0,0","0,0","0,0",,1:43:45,,0:00,"0,0",0:00,No,13:40.79,5,"0,0",,
Mountain Biking,2020-04-20 17:31:07,False,Heemskerk Mountain Biking,15.18,597.0,00:46:49,154,177,3.5,,,19.5,34.1,67,67,"0,00","0,0","0,0","0,0","0,0","0,0",,46:49,,0:00,"0,0",0:00,No,01:09.48,4,"0,0",,
Mountain Biking,2020-04-17 16:17:38,False,Heemskerk Mountain Biking,19.81,687.0,00:54:32,153,177,3.7,,,21.8,32.5,35,36,"0,00","0,0","0,0","0,0","0,0","0,0",,54:32,,0:00,"0,0",0:00,No,11:54.58,4,"0,0",,
Mountain Biking,2020-04-15 15:26:20,False,Amersfoort Mountain Biking,20.92,1.192,01:45:05,163,188,5.0,,,11.9,30.3,37,36,"0,00","0,0","0,0","0,0","0,0","0,0",,1:45:05,,0:00,"0,0",0:00,No,03:38.55,5,"0,0",,
Mountain Biking,2020-04-12 15:52:19,False,Heemskerk Mountain Biking,21.22,781.0,00:57:28,163,182,5.0,,,22.2,37.4,19,18,"0,00","0,0","0,0","0,0","0,0","0,0",,57:28,,0:00,"0,0",0:00,No,03:42.12,5,"0,0",,
Mountain Biking,2020-04-10 17:29:40,False,Heemskerk Mountain Biking,16.54,557.0,00:42:12,160,184,4.3,,,23.5,34.0,6,8,"0,00","0,0","0,0","0,0","0,0","0,0",,42:12,,0:00,"0,0",0:00,No,05:33.56,4,"0,0",,
Mountain Biking,2020-04-07 15:53:26,False,Amersfoort Mountain Biking,17.17,1.235,01:21:26,164,192,5.0,,,12.6,26.5,38,37,"0,00","0,0","0,0","0,0","0,0","0,0",,1:21:26,,0:00,"0,0",0:00,No,06:42.09,4,"0,0",,
